ich möcht auch eine Abstimmung um den Pendlerabzug bei den Steuern nicht zu begrenzen.,"Sentiment(polarity=-0.7, subjectivity=0.0)"
endlich erkennt mich niemand mehr mit meiner Covid-Maske. Bin zwar hübsch aber die Schweizer sind Tagträumer.,"Sentiment(polarity=0.5, subjectivity=0.5)"
"Natürlich, will mich ja nicht von einem vermummten Chirurgen Operieren lassen, Ironie off. Habe aber wärend meiner vielen verschiedenen Reisen in Ägypten oft weniger vermummte gesehen als hier in der Schweiz und nicht Touristen.","Sentiment(polarity=-0.15000000000000002, subjectivity=0.0)"
"Natürlich, will mich ja nicht von einem vermummten Chirurgen Operieren lassen, Ironie off. Habe aber wärend meiner vielen verschiedenen Reisen in Ägypten oft weniger vermummte gesehen als hier in der Schweiz und nicht Touristen.","Sentiment(polarity=-0.15000000000000002, subjectivity=0.0)"
Wir haben Regeln in unserem Land und diese sind einzuhalten ! Ansonsten bleiben Sie doch in Ihrer Heimat !,"Sentiment(polarity=0.0, subjectivity=0.0)"
Gab es dazu nicht bereits eine Abstimmung? Ich bin nun etwas verwirrt... Ist das eine alle 2 Jahre wiederkehrende Abstimmung? Dafür werden also meine Steuergelder verwendet... Cool!,"Sentiment(polarity=-0.10000000000000002, subjectivity=0.0)"
"Aha Ausnahmen vom Verhüllungsverbot wären möglich und zwar in Gotteshäusern ... Soviel mal zur Unterdrückung der Frau und zum Thema ""Schutz vor Terroristen"" .... Ist es denn nicht der Glaube, die Religion, welche Frauen unterdrückt? Wenn eine Frau sich freiwillig entsprechend kleidet, so sollte sie dies dürfen. Zudem sehe ich in der Stadt z.B. praktisch keine verhüllte Frau. Kantone, welche dies bereits eingeführt haben, büssen sehr wenige. Folglich scheint es wohl kein so grosses Problem zu sein, welches der Rede wert ist. Allerdings kann es den Tourismus betreffen ...","Sentiment(polarity=0.22857142857142856, subjectivity=0.07142857142857142)"
"Sorry, aber das ist nicht unsere Schweiz....","Sentiment(polarity=0.0, subjectivity=0.0)"
"Die Schweiz hat sich so verändert, das dies wohl der sicherste Weg ist unbehelligt sein Zeug zu erledigen","Sentiment(polarity=0.0, subjectivity=0.0)"
Wie auf dem Campingplatz. Mit dem Unterschied dass sich das Zelt bewegt.,"Sentiment(polarity=0.35, subjectivity=0.0)"
"@Moderner Camper bei uns überall. Hoddies hoch, Maske an und wir haben lauter Vermummte. Sturm im Wasserglas darum nein.","Sentiment(polarity=0.2333333333333333, subjectivity=0.0)"
Höchste Zeit ja zu stimmen,"Sentiment(polarity=0.0, subjectivity=0.0)"
"Es laufen ja soo viele damit rum! Verbietet das Verhüllen der linken Randalierer, das macht mehr Sinn.","Sentiment(polarity=-0.175, subjectivity=0.75)"
"Klar NEIN!! Keine weiteren Verbote und Gesetze!! Es braucht nur noch eins, eine klare Obergrenze an Gesetzen und Verordnungen! Und solche Obergrenzen wären auch noch anderswo von Nöten! Obergenze für Steuern und Krankenkassenprämien ,damit diese nicht mehr erhöht werden können. Oder wann soll mal Schluss damit sein?","Sentiment(polarity=0.2604166666666667, subjectivity=0.0)"
"Sehe in Ägypten jedoch oft weniger vermummte als in der Schweiz. Ob jetzt in Kairo, Luxor oder weiter unten gegen Mar shalam. Warum nur mehr hier?","Sentiment(polarity=0.0, subjectivity=0.3333333333333333)"
"Und das ist nicht diskriminierend , oder?! Das darf man machen und sagen, andere Menschen darf man nicht heutzutage diskriminieren....","Sentiment(polarity=-0.5, subjectivity=0.0)"
An der Fasnacht darf man künftig ohne Maske rumrennen!,"Sentiment(polarity=0.0, subjectivity=0.0)"
"Wenn ich meinen Kerichtsack einen Tag zu früh an die Strasse stelle, bekomme ich auch eine Busse.","Sentiment(polarity=0.0, subjectivity=0.0)"
Klares NEIN!,"Sentiment(polarity=1.0, subjectivity=0.0)"
"Mutti hatte früher schon immer gesagt, dass es von engen Jeans Hodenkrebs gäbe. Nichts davon war wahr - drum schluss mit Kleidervorschriften.","Sentiment(polarity=0.5, subjectivity=0.0)"
"Es geht nicht um die3 burkaträgerinnen der ch,sondern um gesichtserkennung gegen das Volk","Sentiment(polarity=0.0, subjectivity=0.0)"
"Oha, was machen denn die Basler und Luzerner.","Sentiment(polarity=0.0, subjectivity=0.0)"
"Eigentlich würde ich da sofort Ja stimmen, aber da ja ein Grossteil der Bevölkerung und auch der SVP meint nichts gegen die Maskenpflicht unternehmen zu müssen, dann sollen sie auch die Burkas ertragen. Wenn Masken ok sind, sind auch Burkas ok.","Sentiment(polarity=0.35, subjectivity=0.0)"
"es sollte eine abstimmung stattfinden, welche die wurzel der unzufriedenheit der schweiz aufzeigt. offensichtlich geht es nicht um kleidungsstücke, sondern um kulturelle gegensätze, welche seid jahrhunderten, wenn nicht jahrtausenden bestehen.","Sentiment(polarity=0.0, subjectivity=0.0)"
"Ich wäre dafür, dass man auch die Hygienemasken im öffentlichen Raum verbietet.","Sentiment(polarity=0.0, subjectivity=0.0)"
Klares JA!,"Sentiment(polarity=0.0, subjectivity=0.0)"
@RaCa NEIN!,"Sentiment(polarity=0.0, subjectivity=0.0)"
"Hier gehts auch um Sicherheit, Kriminelle und Terroristen können sich wunderbar darunter verbergen.","Sentiment(polarity=1.0, subjectivity=0.0)"
@Hanoverianer unter der Maske nicht? Hahaha,"Sentiment(polarity=0.0, subjectivity=0.0)"
Wie siehts dann bei der Fasnacht aus?,"Sentiment(polarity=0.0, subjectivity=0.0)"
@Currywurst Absolutes Wermummungsverbot an Fasnacht,"Sentiment(polarity=0.7, subjectivity=0.0)"
"@Currywurst Vermutlich so wie im Tessin. Das Erste was damals passiert ist, war, dass sich die Polizei auf gewalttätige Weise auf einen Angestellten von einem Geschäft stürzte, der im Hasenkostüm Ballons an Kinder verteilte. Der arme Kerl erhielt dann auch noch eine saftige Busse.","Sentiment(polarity=0.3333333333333333, subjectivity=0.0)"
"@Currywurst Man kann es auch bewusst ins Lächerliche ziehen ! Das ist ein ernstes Thema. Es geht unter anderem auch um unsere Sicherheit , gepflogenheiten und Kultur. Zu unserer Kultur gehört nun mal, dass man sein Gegenüber sieht.","Sentiment(polarity=-0.175, subjectivity=0.0)"
"@Currywurst wer lesen kann ist im Vorteil! Es steht klar, dass dass das Tragen von Masken bei entsprechen schweizerischen Sitten und Gebräuchen (z.B. Fasnacht) erlaubt ist.","Sentiment(polarity=0.5, subjectivity=0.0)"
"@Currywurst Das ist einkultureller Brauch der Schweizer, also kein Problem, eine Maske zu tragen, ist ja nicht das ganze Jahr","Sentiment(polarity=0.0, subjectivity=0.0)"
"@Currywurst , Fasnacht ist ein Schweizer Brauchtum und das ist nur an einer kurzen Zeit im Jahr der Fall. Die Ganzkörperverschleierung wird aber von den Frauen das ganze Jahr getragen und gehört nicht zum Brauchtum in der Schweiz.","Sentiment(polarity=0.0, subjectivity=0.0)"
@Currywurst Tipp Artikel lesen.,"Sentiment(polarity=0.0, subjectivity=0.0)"
Es gibt doch schon ein Vermummungsverbot - oder nicht? Könnte einfach ausgeweitet werden auf alle Arten der Vermummung ausser Bräuche (Fasnacht und andere),"Sentiment(polarity=0.35, subjectivity=0.0)"
"Sooo schlimm kann es der Schweiz ja nicht gehen, wenn wir keine anderen Probleme haben. Aber wir fallen immer wieder auf Narzisten herein und glauben denen noch.","Sentiment(polarity=-0.5, subjectivity=0.0)"
@no problem Warum muss man immer erst warten bis ein Problem entsteht? Burkaverbot wehrt den Anfängen.,"Sentiment(polarity=0.0, subjectivity=0.0)"
"Das wäre das Bestewas passieren könnte. Dann sind wir diese Bakterienschleudern endlich los und können wieder frei atmen. Gegen Corona nützen sie ja eh nichts. Aber unseren Coronadiktatoren fallen ja immer neue Schikanen gegen uns Bürger ein. Leider laufen viel zu viele Bürger wie Lemminge und ohne zu Denken den Regierungen hinterher. Man sollte sich echt fragen, was das soll, wegen einer etwas stärkeren Grippe die ganze Wirtschaft an die Wand zufahren.","Sentiment(polarity=0.2833333333333333, subjectivity=0.16666666666666666)"
Und warum genau sind Gesichtsmasken - ob hygienisch oder nicht - keine Gesichtsverhüllung???,"Sentiment(polarity=0.0, subjectivity=0.0)"
"Wenn ich dort gehe, passe ich mich an als Touristin, wenn sie hier kommen..... wer soll sich anpassen?? Wieder ich? Immer ich? Nur ich? Respekt ist gegenseitig.","Sentiment(polarity=0.0, subjectivity=0.0)"
"Mit der jetzigen Maskenpflicht und dem, dass die Maske auch anschliessend von Menschen beibehalten wird, erübrigt sich eigentlich die Initiative. Der Nijab (Gesichtsverhüllung) kann kaum mehr verboten werden. Geschweige denn, ein solches Verbot durchgesetzt werden.","Sentiment(polarity=-0.3333333333333333, subjectivity=0.0)"
"Man sieht ja was verloren geht an persönlichkeit durch das tragen der Masken ,darum finde ich ein Verhüllungs verbot ist richtig","Sentiment(polarity=1.0, subjectivity=0.0)"
"Unser land, unsere bräuche! So ein ding hat bei uns einfach nichts zu suchen, wir müssen uns in ihren länder auch anpassen. Wer hierher kommt, kann nicht denken, sie können weiterleben wie vorhin... Es gibt andere regeln, gesetze, bräuche... Wer sich nicht daran halten kann, kann gerne gleich wieder gehen.","Sentiment(polarity=0.13999999999999999, subjectivity=0.0)"
"Wenn ich Töfffahre, dann will ich tanken, muss ich mein Helm an der Kasse (Tankstelle) auch abziehen. Und..... HALLOOO wir sind in der CH. Ich habe Respekt für alle, aber alle sollen auch Respekt für uns haben-dürfen-sollen.","Sentiment(polarity=0.0, subjectivity=0.0)"
"Seit der Maskenpflicht, sind den Burkagegnern wohl die Argumente ausgegangen, weil jetzt alle verhüllt rumlaufen müssen ;) welch Ironie..","Sentiment(polarity=0.0, subjectivity=0.0)"
"Was bedeutet ""rechter Flügel"" der SVP? Die SVP ist eh schon sehr weit rechts, für noch rechter muss eigentlich ein neuer Parteiname her. Man kann ja in der Gerümpelkiste der Geschichte herumkramen und sich von der Rubrik ""Deutschland 1933 -1945"" zu einem neuen Parteinamen inspirieren lassen.","Sentiment(polarity=1.0, subjectivity=0.0)"
Expert*innen vom Robert-Koch-Institut halten das auch beim Coronavirus für denkbar. So könnte sich das Virus trotz Impfung in der Nase und im Mund vermehren. Der Geimpfte könnte dann ansteckend sein.Test test,"Sentiment(polarity=0.0, subjectivity=0.0)"
"Ach, diese Umfrage bedeutet nichts. Das sind nur die, wo am lautesten sind. Bei der Abstimmung sieht es dann anders aus.","Sentiment(polarity=-0.3333333333333333, subjectivity=0.0)"
Probleme haben wir. Also eigentlich ganz andere als die Initiative.,"Sentiment(polarity=0.0, subjectivity=0.0)"
"Ich finde es schade das so viele Menschen sich nicht mit dem Islam auseinandergesetzt haben, so das sie sogar sagen das es uns Frauen unterdrückt. ""Die Unterdrückung"" liegt nicht am Islam sondern wenn dann an der Kultur. Bitte liest doch den Kuran bevor ihr solch wiederlichen Sachen behauptet ) Schönes Wochenende","Sentiment(polarity=0.16666666666666666, subjectivity=0.16666666666666666)"
So en seich... das eine hat mit dem andern nichts zu tun. Gesundheit  Glaube,"Sentiment(polarity=0.0, subjectivity=0.0)"
"Sicher ein gutes Thema um die Kommentarspalte offen zu lassen... Freue mich jetzt schon auf all die Herzlichkeit und differenzierte Prosa, wie zu Goethes Zeiten!","Sentiment(polarity=0.425, subjectivity=0.0)"
Ein klares JA. Wir sind in der Schweiz und da gibt es nun mal ein paar Regeln an die man sich halten muss oder sollte. Wenn ich in ein anderes Land gehe und die dort gewisse Regeln haben passe ich mich auch an.,"Sentiment(polarity=0.0, subjectivity=0.0)"
@Die Freiheit des Menschen wir sind die Schweiz und passen sie an uns an,"Sentiment(polarity=-0.7, subjectivity=0.0)"
Religiöse Überzeugung ist eine sache mit der man diskret auftretet und bei uns in der Schweiz ist eine andere Kultur wer möchte kommt und nimmt Sie an aber das wir darüber abstimmen müssen über Religiösse Ansichten und somit unsere Politk in frage stellt. Wer in der seiniger Religon Leben möchte geht dort hin wo Sie gelebt wird vom Land. Bei der Sprach das gleiche Thater schauen Sie auf die Schaufenster und Werbungen. Wo sind unsere Werte ?,"Sentiment(polarity=0.5, subjectivity=0.0)"
"Es geht um jedes Menschenleben, das verbessert werden kann. Wenn auch nur eine Frau dank der Initiative keinen Schleier tragen muss, ist das ein Sieg. Die Gegner sind einfach nur menschenverachtend und gehören aus unserer Gemeinschaft ausgeschlossen.","Sentiment(polarity=0.18333333333333332, subjectivity=0.0)"
"Der R-Wert ist unter 1, gemäss BAG können die Läden wieder auftun, die Masken weg bei Schifahren, die Fälle weiter rückläufig - warum hat dann der Bundesrat gestern einen lockdown bis Ende Februar befohlen???","Sentiment(polarity=0.0, subjectivity=0.0)"
