"Eine sogenannte illegale Zurückweisung ist nur eine Abwehrreaktion eines Staates auf illegales Eindringen in sein Staatsgebiet. Wer illegal eindringt, fliegt auch illegal wieder raus.","Sentiment(polarity=0.0, subjectivity=0.0)"
Dabei ist jeder Pushback ein Erfolg für die Schweiz. Also alles ok Herr Leggeri,"Sentiment(polarity=0.0, subjectivity=0.0)"
"Die Berner Polizisten haben sich bei den Aktivisten auf Geheiss der Stadtregierung entschuldigt und ihnen je eine ÖV Tageskarte ausgehändigt, damit sie nicht schwarz unterwegs sein müssen.","Sentiment(polarity=0.325, subjectivity=0.0)"
"Warum befreien?? Irgendwan haben sie hunger, durst oder müssen auf‘s WC. Keine beachtung geben ist das sinnvollste","Sentiment(polarity=0.0, subjectivity=0.0)"
"ich bin ein Geschwindigkeitsaktivist,Herr Richter...kein Raser.","Sentiment(polarity=0.0, subjectivity=0.0)"
"Warum muss man die befreien,lasst sie doch dort und beachtet sie nicht. Aber man muss ihnen ja unbedingt diese Aufmerksamkeit geben. Somit haben sie das Ziel erreicht 🤷‍♀️","Sentiment(polarity=0.0, subjectivity=0.0)"
"Ich kann verstehen, dass man Zeichen aetzen will. Was ich nicht verstehe ist, warum auf Steuerkosten die Feuerwehr die Arbeit erledigt. Wer sich ankettet, kann sich ja auch wieder entketten. Und Zeit genug ware ja da, um die Personalien aufzunehmen und entsprechende hohe Bussen auszusprechen.","Sentiment(polarity=0.175, subjectivity=0.0)"
"Diese Kosten will ich nicht finanzieren!! Wenn sie sich festkleben oder anbinden oder antakkern ist mir das völlig wurscht. Macht euer Ding , wenn ihr müsst- bloss lasst alle anderen Menschen in Ruhe!","Sentiment(polarity=0.0, subjectivity=0.0)"
Warum beffeien? Lasst die Aktivisten doch angekettet. Schadet ja niemanden.,"Sentiment(polarity=-0.3333333333333333, subjectivity=0.0)"
Ich hätte die Demonstrierenden bis am Montagmorgen angekettet gelassen! -),"Sentiment(polarity=0.0, subjectivity=0.0)"
"Die Demonstranten können ja ebenfalls an der Volkabstimmung teilnehmen, falls sie stimmberechtigt sind! Gewisse Zeitgenossen haben ein eigenartiges Verständnis für Demokratie!","Sentiment(polarity=-0.5, subjectivity=0.0)"
"Diese sogenannten „Aktivisten“ scheinen insbesondere Freitags immer über sehr viel Freizeit zu verfügen. Könnte es eventuell sein, dass diese keiner Erwerbstätigkeit nachgehen?","Sentiment(polarity=0.0, subjectivity=0.5)"
"Wie wärs wenn die Aktivisten die Stassen in der Ukraine blockieren würden? Das wär sinnvoller 1. Krieg ist extrem Klima schädigend (Panzer, Flugzeuge sind keine ElektroFZ). 2.Krieg tötet Menschen und Tiere.","Sentiment(polarity=-0.175, subjectivity=0.0)"
Ich hätte sie dort sitzen lassen,"Sentiment(polarity=0.0, subjectivity=0.0)"
