"Wir bezahlen schon Gebühren an den Staat, jetzt auch noch eine neue Abgabe. Definitiv NEIN - ich entscheide selber, welche Filme ich sehen will ; da gehören nur wenige CH - Produktionen hin - da genügen die Serafe-Abgabrn. Also - NEIN Danke!","Sentiment(polarity=-0.3333333333333333, subjectivity=0.3333333333333333)"
Warum 360 für Fernsehen zahlen u 90% Schichten kommt,"Sentiment(polarity=0.0, subjectivity=0.0)"
Gute Filme werden freiwillig geschaut und dafür auch bezahlt. Schlechte nicht. Ganz einfach. Nennt sich Marktwirtschaft.,"Sentiment(polarity=0.13749999999999998, subjectivity=0.0)"
"Wenn wie von den Befürworter berichtet sei in Österreich die Quoten Regelung bereits eingeführt und hat zu keine Änderung der Filmangebote geführt, welchen Sinn würde denn die Einführung eine solcher Regelung hierzulande haben? Die Nachfrage und Qualität regeln den Markt ...","Sentiment(polarity=0.0, subjectivity=0.0)"
"Viel sinnvoller wäre eine Harmonisierung der Inhalte der Streaming-Anbieter untereinander, sodass man nicht mehrere Abos (Netflix, Amazon, Disney) abschliessen muss, um seine paar Lieblinsserien schauen zu können. Stattdessen alle Anbieter denselben Inhalt und lieber durch Preis und besseren Service von der Konkurrenz abheben, als durch die sogenannten Exklusiven Inhalte. Das wär mal was feines.","Sentiment(polarity=0.6166666666666667, subjectivity=0.0)"
"Wenn CH Filme so toll wären, warum füllen sie die Kinos nicht?","Sentiment(polarity=1.0, subjectivity=0.0)"
"es wird behauptet, dass das angebot gleich bleibe. das ist falsch. bisher sehen wir 100% was wir wollen. nachher wird das auf 80% sinken und 20% heimisches wird dann auf dem netflixabstellgleise stehen. niemand schauts und abo teurer. oder glaubt jemand, dsss, wenn 1 kg spaghetti bisher 1 fr kostete sie zb 1200gr trotzdem für 1 fr kriegen? eher nicht. netflix ist dss selbe. das angebot wird weniger. voila.","Sentiment(polarity=-0.1, subjectivity=0.0)"
Netflix produziert zuviele Filme mit Gewalt und gewalt-Sexzenen sowie abstossende Szenen. Darum ist eine Erhöhung unzulässig. Und lässt sich auch überlegen. Das Abo zu künden,"Sentiment(polarity=-0.07500000000000001, subjectivity=0.0)"
"Bisher habe ich noch kein Argument gegen die ""Lex Netflix"" gehört. Klar wollen die Rechten diese nicht. Die halten ja nichts von Schweizer Kultur.","Sentiment(polarity=0.3333333333333333, subjectivity=0.0)"
"@Cholesche Schweizer Kultur und Filmwesen sind zwei paar Schuhe. Kultur kann ich vor der Haustür haben, aber gute CH Filme existieren vielleicht eine Hand voll. Dass jetzt gezwängelt werden soll, ist nicht zu begründen und ganz klar abzulehnen!","Sentiment(polarity=0.6666666666666666, subjectivity=0.0)"
"Der Schweiz fehlt der Kulturelle Kern und Zusammenhalt, ist leider in den letzten Jahren zunehmend verloren gegangen. Man orientiert sich nach den Trends von aussen und kopiert dessen Verhalten. Typisch ""Switzerland"" ist abgelaufen und findet keine eigene Identät mehr da den Quoten und Trends den diktierenden Medien unterliegen....","Sentiment(polarity=-0.45, subjectivity=0.16666666666666666)"
"Es braucht keine falschen Behauptungen. Pkt. 1 In der CH werden aktuell schon zig Mio an Steuergelder für den Kultur-Filmbereich abgegeben. Pkt. 2 und das ist der wichtigste Wenn etwas auf dem Markt keine Abnehmer findet, dann kann es noch so gut sein, aber ist leider am Markt vorbeiproduziert. Dies dann mit einem Investitionszwang einer privaten Firma zu subventionieren ist einfach falsch. Es ist in der CH aber ein bisschen Standard, dass alles was nicht rundläuft, da keine Nachfrage, einfach mit Steuergeldern oder sonstigen Geldern subventioniert werden soll (siehe SRG)","Sentiment(polarity=0.27142857142857146, subjectivity=0.0)"
@StefanM. Es gibt gute Schweizer Produktionen die es auch geschafft haben international Erfolg zu feiern.,"Sentiment(polarity=0.425, subjectivity=0.0)"
"@StefanM. Sehe ich ziemlich ähnlich. Wie viele Schweizer Produktionen mögen aus professionellkünstlerischer Sicht gut gemacht sein, wohl dank grosszügiger Geldspritzen aus staatlichen Töpfen, aber leider totzdem an den Erwartungen vieler Kunden vorbeiproduziert? Da sehe ich ein riesiges Manko der Subventionierung von Kultur Sie scheint es erst zu ermöglichen, dass nicht die Nachfrage das Angebot bestimmt und somit scheinbar viele hochwertige, aber doch nicht gefragte Produktionen entstehen.","Sentiment(polarity=0.135, subjectivity=0.35)"
@Repter nein nicht wirklich^^ die einzigen guten schweizer filmen hatte nur wschweizer regisseure etc aber wurden nciht in der shcweiz produziert^^ schauen sie mal auf wiki alle schweizer filme an und deren impakt. die will niemand sehen und kostetet nur unmengen an geld für nichts,"Sentiment(polarity=0.125, subjectivity=0.0)"
