Nof commentators,Average Comments/commentators,Average length of comment (in words),Median length of comment (in words),Nof comments positive,Nof comments neutral,Nof comments negative,Tendency to positive comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to positive comments,Tendency to neutral comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to neutral comments,Tendency to negative comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to negative comments
157,1.1210191082802548,160.10795454545453,96.5,21,64,91,0.054334554334554336,143,0.09462759462759462,845,0.0,650
Text,Sentiment,main reaction amount,reaction amount,reactions,author
jeder der etwas weiter denken kann legt ein nein in die urne. meins ist schon auf sicher...,['neutral'],jetzt bewerten,0,0
In der Schweiz sterben jährlich mehr durch Autos als Waffen. Verzichtet doch aufs Autofahren und rettet Leben,['neutral'],jetzt bewerten,0,0
Was Verbote oder Verschärfung nutzen sieht man am verschärften Waffenrecht. Oder wie war das nochmals genau mit Wien?,['neutral'],jetzt bewerten,0,0
@Outlaw Das kommt eben vom Waffen produzieren und exportieren Outlaw. Oder meinst du die Schweizer Qualitätshandgranaten sind zu Fuss nach Libyen gegangen?,['neutral'],UNNÖTIG,12,27
Jede Kanone die gebaut wird jedes Kriegsschiff das vom Stapel gelassen wird jede abgefeuerte Rakete bedeutet letztlich einen Diebstahl an denen die hungern und nichts zu essen bekommen denen die frieren und keine Kleidung haben. Eine Welt unter Waffen verpulvert nicht nur Geld allein. Sie verpulvert auch den Schweiß ihrer Arbeiter den Geist ihrer Wissenschaftler und die Hoffnung ihrer Kinder. Dwight D. Eisenhower,['neutral'],jetzt bewerten,0,0
Wer für den Waffenexport ist sollte alle Heldenfriedhöfe der Welt jäten müssen. Aber da jäten immer andere. Seltsam...,['neutral'],jetzt bewerten,0,0
Ach komm jetzt weltweite Politik hin oder her wir sollten eigentlich als gutes Beispiel voran gehen gar kein Kriegsmaterial herstellen und auch keins verwenden grundsätzlich.,['negative'],jetzt bewerten,0,0
Grundsätzlich ist gegen die Idee nichts eizuwenden nur wird das an der Weltlage nichts ändern diejenigen die Kriegsmaterial kaufen wollen werden die trotzdem tun und trotzdem Krieg führen. Davon profitieren höchstens Laäder wie China USA oder Russland welche ohne Skrupel jedem das verkaufen was der will. Es geht bei der Initiative höchstens darum das persönliche Schuldempfinden oder das Ich-bin-ein-besserer-Mensch Gefühl zu bestätigen. Und zu guter Letzt Die GsoA hat immer noch zum Hauptziel die Abschaffung der Armee! Alles was von denen kommt ist strikt abzulehnen denn eigentlich begehen sie damit Landesverrat!,['negative'],jetzt bewerten,0,0
Demokratische Länder wie die Schweiz brauchen auch einen militärischen Schutz. Die Unabhängigkeit der Schweiz ist auch auf Eigenproduktion von Waffensystemen und der Kontrolle über dern Software angewiesen. Den Export von Waffen in dikatorische regierte Länder ist abzunehmen. DIe GSoA ist leider eine Mogelpackkung die vor allem die eigene Landesverteidigung schwächt. Als neutrales Land müssen wir unsere Grenzen auch militärisch schützen.,['neutral'],jetzt bewerten,0,0
@Igel Friedlieb,['neutral'],GENAU,6,18
