Nof commentators,Average Comments/commentators,Average length of comment (in words),Median length of comment (in words),Nof comments positive,Nof comments neutral,Nof comments negative,Tendency to positive comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to positive comments,Tendency to neutral comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to neutral comments,Tendency to negative comments (all main_reactions +/- added together and then divided by total reactions),# Reactions to negative comments
696,1.2658045977011494,156.11237230419977,119,66,273,542,0.014611097649624424,1627,0.2109280348921735,24039,0.21279379694693482,15604
Text,Sentiment,main reaction amount,reaction amount,reactions,author
Die Realität ist dass bereits heute gleichgeschlechtliche Paare in der Schweiz Kinder haben - durch ausländische Samenbanken oder Leihmutterschaften. Auch die Stiefkindadoption ist rechtlich möglich in der Schweiz (d.h. Adoption des Kindes durch den nicht biologischen gleichgeschlechtlichen Partner). Die Gegner der ‚Ehe für alle‘ blenden diese Realität aus. Statt Schutz zu bieten durch eine gesetzliche Regelung wollen sie die Augen verschliessen und so tun als wäre dies nicht bereits Realität. Eine klare gesetzliche Gleichstellung würde aber fördern dass dies als ‚normal‘ angesehen wird.,['neutral'],GENAU,4,4
@Kahlani Ich hätte überhaupt kein Problem wenn homosexuelle heiraten. Sie können sich lieben küssen und umarmen wie alle anderen paare auch. Dies ist völlig natürlich. Nur können sie von sich aus keine kinder zeugen. ich finde diese von der natur gegebene einschränkung sollten wir menschen nicht überschreiten. Dies ist der einzige grund warum ich nein stimmen werde. Wäre die adoptierung und der zugang zu samenspenden nicht ein teil von dem gesetz hättet ihr mein ja 100%.,['positive'],QUATSCH,3,7
@Ruben K. Mit dieser Logik dürfte es falls es mit dem natürlichen Empfangen nich klappt auch kein künstliche Befruchtung Leihmutterschaft und Invitro bei Mann und Frau Ehen geben um nachzuhelfen.,['neutral'],LOVE IT,5,7
"@Ruben K. Dann lass dir aber bitte auch nie einen Herzschrittmacher einsetzen lasse dich nicht impfen und nehme keine Medikamente. Und benutze kein Duschgel. Denn das ist alles ""gegen die Natur"" und mit diesen Einschränkungen sollst du schliesslich leben können. Schönen Abend noch.",['neutral'],LOVE IT,8,10
@Ruben K. Und wenn Du unfruchtbar bist oder deine Frau dann ist es aber ok in die „von der Natur gegebene Einschränkung“ einzugreifen und künstlich zu zeugen oder zu adoptieren?,['neutral'],GENAU,32,48
"Alle die hier über ""denkt mal an die Kinder"" und ""die Kinder werden dann in der Schule gemobbt"" schreien. Wie wäre es wenn Ihr eure Kinder richtig erzieht? Ihnen Respekt und Toleranz bei bringt? Kleinkinder kennen so etwas noch nicht das wird Ihnen durch ihre Eltern eingeimpft. Also hört auf mit dem theater und erzieht eure Kinder.",['negative'],GENAU,6,9
Wenn Kinder im Spiel sind geht das nicht ausser bei Mann und Frau. Wir sind dagegen.,['negative'],QUATSCH,2,3
@Zoroso - Kinder haben von der Natur her immer eine Mutter und einen Vater. Logo. Das ist schon ein grundsätzliches Naturgesetz.,['neutral'],LOVE IT,26,52
"@Zoroso Wer ist ""Wir""? Ich habe meine eigene Meinung.",['negative'],GENAU,8,25
@Zoroso Warum denn nicht? 2 Väter oder 2 Mütter können besser für ein Kind sein als Vater+Mutter in einigen existierenden Familien. Wir sind also dafür.,['neutral'],QUATSCH,28,52
@Gregor Tabari Und was ist deiner Meinung nach ein nicht-grundsätzliches Naturgesetz? Wo steht dein Gesetz? Woher nimmst du dein Wissen?,['neutral'],QUATSCH,11,17
@Uri3000 Das mit den Bienen muss man jetzt aber nicht auch noch erklären oder?,['neutral'],GENAU,5,10
Eingetragene Partner haben weniger Rechte als Ehepartner. Personen in einer eingetragenen Partnerschaft haben verschiedene Nachteile. Und all dies soll einfach mittels Ehe gleichgestellt werden?,['neutral'],jetzt bewerten,0,0
@Rotkaeppchen Ja soll gleichgestellt werden.,['negative'],LOVE IT,9,17
ich bin total dafür dass alle Paare heiraten dürfen. Aber ich bin froh hatte ich nicht 2 Väter. Nicht wegen mir sondern wegen meinen Mitschülern.,['neutral'],jetzt bewerten,0,0
@Farsight Sag das einem Kind welches in einem Heim sitzt welches die Eltern verloren hat oder nicht gewollt wurde.,['neutral'],GENAU,3,3
Die Aussage dass homosexuelle Paare oder lesbische Paar bessere Eltern sind als heterosexuelle Paar ist schlicht und einfach eine Behauptung ohne Fakten.,['neutral'],GENAU,1 Leserin),1
@Single87 Eine Behauptung von wem? Von Dir? Steht nichts dergleichen im Artikel. Und auch wenn Du recht hast (meiner Meinung nach) hetero-Paare sind auch nicht die besseren Eltern. Alles eine Frage des Charakters und den moralischen  ethischen Werten der Erzieher und nicht der sexuellen Orientierung.,['neutral'],GENAU,46,66
Es geht sowieso noch eine Weile bis wir über die gleichgeschlechtliche Ehe abstimmen werden. Wer dafür ist schreibt ja wer dagegen ist schreibt nein. Ganz einfach. Wie bei jeder Abstimmung sollte man das Abstimmungsbüchlein genau durchlesen.,['neutral'],jetzt bewerten,0,0
Ja für die Schweiz. Nein zur Ehe für alle.,['neutral'],UNNÖTIG,4,7
Von mir aus können sie heiraten. Aber Kinder haben geht mir zu weit. Darum Nein,['negative'],GENAU,1 Leserin),1
@Nein Nein Warum denn? Sind erwachsene Menschen wie wir alle auch also wieso sollten diese keine Kinder haben dürfen?,['negative'],LOVE IT,61,107
@Stu. denkt - einseitig ideologisch. Aber eben nicht gesamtheitlich.,['negative'],LOVE IT,7,21
Sie wollen nur heiraten damit sie Kinder haben können. Die Leidtragenden sind dann die Kinder mit ihren 2 Papis oder 2 Mamis. In der Schule werden solche Kinder vielmals gemobbt. Kinder können grausam zueinander sein.,['neutral'],GENAU,1 Leserin),1
@An Kinder denken Und diese Grausamkeit lernen die Kinder eben genau durch Eltern mit falschen Einstellungen wie Sie! Ich bin froh wurde ich nicht von Ihnen grossgezogen. Lieber 2 MännerFrauen als jemanden mit so einer Einstellung...,['neutral'],LOVE IT,59,94
@Fangbeidirselbstan Bin froh dass ich zwei anständige Kinder grossgezogen habe die beide haben einen sehr anspruchsvollen und guten Job und sie leben beide mir Partner. Habe also nicht alle falsch gemacht. Und sie rauchen nicht und nehmen keine Drogen.,['positive'],SO NICHT,22,50
@An Kinder denken ...wurden Scheidungskinder auch gemobbt und gehänselt. Sollen wir jetzt deswegen die Scheidung verbieten?,['neutral'],GENAU,53,69
@An Kinder wenn jeder welcher diese Bedenken jetzt im Wahlkampf äussert sich die Zeit nimmt und den eigenen Kindern beibringt dass man Leute aufgrund der Sexualität oder der Sexualität der Eltern nicht mobbt dann sollte das Problem relativ klein sein.,['neutral'],SMART,31,55
@An Kinder denken Genau und warum werden die Kinder gemobbt?? Weil sie es von ihren Eltern nichz anders beigebracht bekommen. Tragisch so etwas. Leben und leben lassen.,['neutral'],LOVE IT,33,51
@An Kinder denken Ja. Dann denk an die gemobbten Kinder und erzieh deine dass sie offen sind und nicht mobben! Du unterschätzt aber massiv empathische Fähigkeiten bei Kindern! Vielleicht bist du aber auch zu alt um das zu verstehen.,['neutral'],LOVE IT,34,64
Ich verstehe nicht warum so viele etwas gegen Liebe und liebende Eltern haben. Echt schade. Können wir die Menschen nicht endlich so Glücklich sein lassen wie sie sind?,['negative'],QUATSCH,1 Leserin),1
@Liebe ist für alle da bin ich voll deiner Meinung. Wäre mehr als überfällig.,['negative'],LOVE IT,12,23
Aber nur wenn sie niemals Kinder haben dürfen denn das ginge dann definitiv zu weit. Warum muss ich bestimmt hier nicht erklären.,['negative'],GENAU,1 Leserin),2
@Nur wenn es nicht ausartet Doch das musst Du definitiv erklären. Oder ist das Kind im Waisenhaus besser aufgehoben als bei zwei Menschen die es lieben und dabei das gleiche Geschlecht haben?,['neutral'],LOVE IT,26,38
@Nur wenn es nicht ausartet Doch erklär ich bin gespannt! Mir kommt nämlich keine plausible Erklärung in den Sinn..,['neutral'],LOVE IT,16,25
@Anniee Dann überleg mal ein bisschen.,['neutral'],SO NICHT,17,25
@Anniee Nachdenken nur ganz kurz dann kommst auch dir in den Sinn.,['neutral'],SO NICHT,12,18
@OG Martial Das arme Kind wird irgendwann nur gemobbt werden. Aber das überlegt ihr euch nicht gell? Es geht nur um euch!,['negative'],QUATSCH,35,60
@Bravo toll überlegt Ich überlege mir das sehr wohl und die Antwort liegt auf der Hand Kindern beibringen dass das ganz normal ist. Liegt halt an der Erziehung und ich weiss wie sehr die auf der Strecke bleibt wenn man nur an sich selbst denkt und Kinder als Statussymbol hat wie Sie.,['neutral'],LOVE IT,14,23
@OG Martial Was ist normal? Jeder sieht das in bisschen anders.,['negative'],UNNÖTIG,8,12
