,,,,,,,,,,,,,,,,,,,,,,Luzerner Zeitung,,,,,,,,20minuten,,,,,,,,,,
#,Vote,Links to articles,Topic,1,2,3,4,5,6,7,8,9,10,11,12,Voting date,Political Affiliation that supported vote*,Voter turnout,Result of Vote (With percent),Ständemehr,Verdict,Time period of relevance,Nof Reader's Letters,Nof writers,Average letters/writer,Average length of letter (in words),Median length of letter (in words),Typical Opinion (Letter),Words used often,Time period of relevance,Nof Articles,Nof Comments,Average Comments (no/article),Nof commentators,Average Comments/commentators,Average length of comment (in words),Median length of comment (in words),Typical Opinion (Comment),Words used often,Notes
5,"Bundesbeschluss vom 20.12.2019 über die Beschaffung neuer Kampfflugzeuge
","https://www.20min.ch/story/live-hochrechnungen-zu-allen-fuenf-vorlagen-823242982322
https://www.20min.ch/story/klares-ja-zu-vaterschaftsurlaub-und-jets-offenes-rennen-beim-jagdgesetz-293932351579
https://www.20min.ch/story/ex-militaer-will-neue-kampfjets-abschiessen-619907836223
https://www.20min.ch/story/militaers-zoffen-sich-um-kampfjets-771355126672","3. Sicherheitspolitik
3.2.3 Rüstung",,,X,,,,,,,,,,27.09.2020,4,"59,43%","50,10%",-,YES,,,,,,,,,,,,,,,,,,,
6,Änderung vom 27.09.2019 des Bundesgesetzes über die direkte Bundessteuer (DBG) (Steuerliche Berücksichtigung der Kinderdrittbetreuungskosten),"https://www.20min.ch/story/ueberparteiliches-ja-komitee-wirbt-fuer-zustimmung-zum-kinderabzug-712496024330
https://www.20min.ch/story/abstimmung-ueber-fuenf-vorlagen-findet-im-september-statt-518331049794","6. Öffentliche Finanzen
6.1.1 Steuerpolitik",,,,,,X,,,,,,,27.09.2020,4,"59,21%","36,80%",-,NO,,,,,,,,,,,,,,,,,,,
7,"Volksinitiative vom 31.08.2018 «Für eine massvolle Zuwanderung (Begrenzungsinitiative)»
","https://www.20min.ch/story/der-rahmenvertrag-muss-um-jeden-preis-verhindert-werden-194723897127
https://www.20min.ch/story/bundesrat-cassis-stellt-sich-den-fragen-der-leser-661337982656
https://www.20min.ch/story/mysterioese-svp-flyer-aus-deutschland-fluten-briefkaesten-620859361831
https://www.20min.ch/story/svp-beschuldigt-bgi-gegner-massenhaft-plakate-zu-zerstoeren-158510857109","10. Sozialpolitik
10.3.1 Ausländerpolitik
",,,,,,,,,,X,,,27.09.2020,5,"59,49%","38,30%","15,22%",NO,,,,,,,,,,,,,,,,,,,
8,"Volksinitiative vom 21.06.2018 «Für ein Verbot der Finanzierung von Kriegsmaterialproduzenten»
","https://www.20min.ch/video/finanzierung-von-kriegsmaterialproduzenten-das-musst-du-wissen-199552578742
https://www.20min.ch/story/die-schweiz-entscheidet-ueber-die-kriegsmaterial-initiative-544358325119
https://www.20min.ch/story/schweizer-banken-finanzieren-ruestungsfirmen-mit-15-3-milliarden-194577785111","6. Öffentliche Finanzen
6.3 Öffentliche Ausgaben
",,,,,,X,,,,,,,29.11.2020,1,"46,95%","42,50%","15,22%",NO,,,,,,,,,,,,,,,,,,,
9,Volksinitiative vom 10.10.2016 «Für verantwortungsvolle Unternehmen – zum Schutz von Mensch und Umwelt»,"https://www.20min.ch/story/keller-sutter-eroeffnet-kampf-gegen-konzernverantwortung-467509304494
https://www.20min.ch/story/initiative-koennte-wirtschaft-schaden-760625817492","4. Wirtschaft
4.1.6 Gesellschaftsrecht
",,,,X,,,,,,,,,29.11.2020,0,"47,04%","50,70%","36,96%",NO,,,,,,,,,,,,,,,,,,,
10,"Volksinitiative vom 15.09.2017 «Ja zum Verhüllungsverbot»
","https://www.20min.ch/story/waeren-hygienemasken-vom-verhuellungsverbot-betroffen-383206148309
https://www.20min.ch/story/jetzt-nehmen-burka-gegner-kopftuecher-an-schulen-ins-visier-278781214259","10: Sozialpolitik
10.3.1: Ausländerpolitik",,,,,,,,,,X,,,07.03.2021,5,"51,42%","51,20%","78,26%",YES,,,,,,,,,,,,,,,,,,,
11,Bundesgesetz vom 25.09.2020 über die Verminderung von Treibhausgasemissionen (CO2-Gesetz),"https://www.20min.ch/story/ist-das-nein-der-jungen-zum-co2-gesetz-ein-nein-zur-linken-umweltpolitik-912803923602
https://www.20min.ch/story/beim-co2-gesetz-wird-es-sehr-knapp-765944888792
https://www.20min.ch/story/junge-vielflieger-wehren-sich-wegen-flugticketabgabe-gegen-co2-gesetz-150583818126",9: Umwelt & Lebensraum 9.3.3: Luftreinhaltung,,,,,,,,,X,,,,13.06.2021,1,"59,70%","48,40%",-,NO,,,,,,,,,,,,,,,,,,,
12,Änderung vom 18.12.2020 des Schweizerischen Zivilgesetzbuches (Ehe für alle),"https://www.20min.ch/story/darum-sind-gleiche-rechte-fuer-homosexuelle-paare-umstritten-921394101782
https://www.20min.ch/story/svp-politiker-schiesst-mit-fluechtlings-post-gegen-ehe-fuer-alle-778637729694
https://www.20min.ch/story/die-schweiz-stimmt-ab-das-ist-die-ausgangslage-947381421397","10: Sozialpolitik
10.3.8: Homosexuelle",,,,,,,,,,X,,,26.09.2021,0,"52,60%","64,10%",-,YES,,,,,,,,,,,,,,,,,,,
