"Die Stadt Zug stimmt am 15. Mai über die Totalrevision des Energiereglements ab. Die GLP sagt ja und hat dazu eine öffentliche Kampagne gestartet. Ich selbst stimme der Totalrevision zu, dies weil in der Stadt Zug die klimaneutrale Kälte- und Wärmeerzeugung, etwa das «Circulago», weiter vorangetrieben werden soll, deren Einnahmen bleiben damit beim lokalen Energieerzeuger. Aktuell stammen noch 85 Prozent des Wärmebedarfs aus fossilen Energieträgern und davon profitiert das Zuger Gewerbe nicht viel. Viel mehr profitiert es, wenn der Empfänger zu einem Anbieter mit einer Eigenproduktion der Wärmeversorgung und Elektrizität wechselt.Mit dem alten Reglement profitierten Körperschaften, wie die Korporation, die Bürgergemeinde, die Zuger Kantonalbank oder die ZVB von den Fördergeldern nicht, mit der neuen Totalrevision jedoch schon. Sie können sich für eine umweltfreundliche Lösung entscheiden, genauso wie die börsenkotierten Unternehmen mit Millionen von Reserven. Diese bekamen bereits in der Vergangenheit Fördergelder aus dem Energiereglement zugesprochen. Mit der neuen Formulierung sollen alle, welche auf erneuerbare Energien und Energieeffizienz setzen, einen Ansporn zum Wechsel erhalten. Aus diesem Grund unterstütze ich den parlamentarischen Beschluss mit einem Ja an der Urne.Daniel Ritter, GLP Ortsgruppenleiter Stadt ZugDass der Präsident der Schweizer Verhinderungspartei Zug (Pardon, es sollte natürlich Volkspartei heissen) Gregor R. Bruhin so vehement dagegen ist, dass gewisse Abteilungen der Stadt subventioniert werden können, wenn sie Projekte für den Umweltschutz realisieren, erstaunt mich nicht. Denn wenn es um den Staat geht, dann muss man ja dagegen sein, ob es sinnvoll ist oder nicht. Ich habe jedenfalls Ja gestimmt, um alle Möglichkeiten zu unterstützen, die der Umwelt nützen und hoffe, dass alle Nicht-SVPler dies auch tun.Hans-Peter Arheit, ZugDas angeblich so tolle neue Energiereglement bringt der Allgemeinheit einige Nachteile und belohnt ein paar wenige öffentlich-rechtliche Firmen, die gar keine Subventionen benötigen. Die Stadt würde viel besser bei ihren eigenen Bauten direkt in eine nachhaltigere Wärmeversorgung investieren, statt weiter wild Geld umzuverteilen. Sicher ist, dass die Fördertöpfe bei einer Annahme noch schneller leer sein werden und dann erneut noch mehr finanzielle Mittel eingefordert werden. Beim Energieförderprogramm wurde letztes Jahr den Hausbesitzern eine Auszahlungssumme von rund 1,7 Millionen in Aussicht gestellt. Doppelt so viel wie budgetiert. Es ist also bereits heute absehbar, dass es mit den verbleibenden Mitteln nicht mehr lange dauern wird, bis die nächsten Umverteilungsmillionen beantragt werden. Das dürfte spätestens 2023 der Fall sein. Dann sind die gemeindlichen Wahlen vorbei und alle Vorsätze bei der finanziellen Nachhaltigkeit vergessen. Und die Fraktionen FDP und Mitte haben sich zusammen mit Rot-Grün von der vom Stadtrat verbreiteten Klimahysterie blenden lassen, statt den wahren Fakten nachzugehen. Fakt ist, dass der Regierungsrat (gestützt auf den neu formulierten § 5 des kantonalen Energiegesetzes) einen Rahmenkredit von 68 bis 75 Millionen Franken für ein Programm zur Förderung von Massnahmen zur Senkung des Energieverbrauchs und der CO2-Emissionen in bestehenden Gebäuden für 2023 bis 2032 beantragt (vergl. Vorlage Nr. 3185.9). Per 1. Januar 2023 soll kantonal ein Systemwechsel vollzogen werden, indem der bisherige Budgetkredit durch einen Rahmenkredit abgelöst wird. Dies bedeutet Auszahlungen in der Höhe von 7,5 Millionen Franken/Jahr, wovon der Bund rund 5,5 Millionen übernehmen wird. Davon stehen dann jährlich ca. ein Viertel, also 2 Millionen, für städtische Bauvorhaben zur Verfügung. Es ist völlig unverständlich, dass der Stadtrat mit dem städtischen Energiereglement die geplante kantonalen Lösung unterläuft und selber mit Verve herumwurstelt. Das Resultat dieses staatlichen Chrüsimüsi wird bei Annahme des Reglements sein, dass wir eine enorme Energiebewilligungsbürokratie erhalten. Wir sind auf dem besten Wege dazu. Ich will das nicht und stimme Nein zum missglückten Energiereglement.Philip C. Brunner, Gemeinderat SVP, ZugDie SP Stadt Zug empfiehlt ein überzeugtes Ja zum revidierten Energiereglement. Sie ruft alle Wahlberechtigten zum Abstimmen am 15. Mai auf!Die Stadt Zug ist weiterhin hochgradig abhängig von fossilen Energieträgern: Rund 85 Prozent des Wärmebedarfs werden aus entsprechenden Quellen gedeckt. Es braucht noch sehr viel, um die Klimawende erfolgreich zu gestalten und das von der Stadtzuger Stimmbevölkerung angenommene Ziel einer 2000-Watt-Gesellschaft zu erfüllen.Für die SP Stadt Zug ist die Totalrevision des Energiereglements ein Schritt auf diesem Pfad. Dank ihr werden die Mittel des gemeindlichen Förderprogramms aufgestockt, das der Nachfrage nach Unterstützung nicht mehr entsprechen kann. Den Energiebedarf zu reduzieren und von klimaschädlichen Brennstoffen abzukehren, das kann und soll sich unsere reiche Stadt leisten. Klar ist aber: Angesichts der drohenden Folgen des Klimawandels muss noch weitaus mehr geschehen. Aus diesem Grund setzt sich die SP auch auf kantonaler Ebene für wirksames Fordern und Fördern hin zu mehr erneuerbaren lokalen Energien ein.","Für den Vorstand der SP Stadt Zug: Rupan Sivaganesan, Präsident, Gemeinderat, Zug",['neutral']
"Verfolgt man die Diskussion in den Medien, scheinen rund um das Projekt Stuben etliche Fehlinformationen im Raum zu stehen, so beispielsweise die Annahme, dass Naturschutz­gebiete aufgehoben werden. Tatsächlich geschieht genau das Gegenteil: Der Mühlebach wird im Zuge des Projekts renaturiert, was sicher eine willkommene Aufwertung bedeutet. Zudem wird ohne Kostenfolge für das isolierte Biotop, das sich heute in der Gewerbezone befindet, eine Ersatzlösung realisiert. Der neue Lebensraum wird im Bereich des Mühlebaches gestaltet. Zu einem späteren Zeitpunkt kann die Gemeinde bei Bedarf die Naturschutzzone verlagern oder beide Biotope als Naturschutzzone festlegen.Wer die Vorlage genau studiert, stellt überdies fest, dass kein Wald gerodet wird. Es werden rund 20 Hochstamm-Obstbäume gefällt, die später alle ersetzt werden. Ebenfalls ersetzt wird die mitten im Gebiet befindliche Hagenbuchen-Hecke. Ein Blick auf die Endgestaltung macht deutlich, dass diese später an fast gleicher Lage in einem analogen Umfang wieder gepflanzt wird. Es ist gemäss Baugesuch sogar vorgesehen, dass die neue Hecke artenreicher sein und aus einheimischen Sträuchern bestehen soll. Für mich stimmen diese Vorgaben. Ich sage am 15. Mai deshalb Ja zum Projekt Stuben.Alois Bründler, EbikonWissen Sie, wie es ist, von den Erschütterungen eines Lastwagens aus dem Schlaf gerissen zu werden, der in der Nacht mit achtzig Stundenkilometern am Haus vorbeidonnert, obwohl nur fünfzig Stundenkilometer erlaubt sind?Wissen Sie, wie es sich anfühlt, sein eigenes Wort im Haus oder Garten nicht mehr zu verstehen, weil beim Beschleunigen auf der Strasse wieder einmal die Motoren übermässig zum Aufheulen gebracht werden, obwohl das Strassenverkehrsgesetz Rücksichtnahme gebietet? Und was tut der Gemeinderat? Er steckt nicht nur den Kopf in den Sand, sondern haut der betroffenen Bevölkerung mit der Deponie Stuben noch einen obendrauf. Dies ist Politik gegen die eigene Bevölkerung. Probleme sind zu lösen und nicht zu vergrössern. Darum: Ja zu einer zeitgemässen Verkehrspolitik in der Gemeinde Ebikon und zu einer lebenswerten Zukunft! Nein zur Deponie Stuben!Roger Marti, EbikonIm Rontal und Luzern Ost wird viel gebaut. Dies wird auch in Zukunft so bleiben. Unabhängig, ob das Projekt Stuben realisiert werden kann, entsteht also Lastwagenverkehr. Wenn jetzt in Meggen oder Adligenswil gebaut wird, fahren die Lastwagen durch Ebikon nach Eschenbach, Ballwil, Emmen. Mit dem Projekt Stuben fallen diese Fahrten in entfernte Ablagerungsstellen weg. Ebikon wird das positiv zu spüren bekommen, wird es doch von diesen Durchfahrten entlastet. Einfach auf den Punkt gebracht heisst das: Es fahren sogar weniger Lastwagen durch Ebikon, als es ohne das Projekt Stuben der Fall wäre.Die kürzeren Wege reduzieren den CO2-Ausstoss nachweisbar und haben einen weiteren vorteilhaften Effekt. Sie sind ein willkommener Beitrag an die Klimaverbesserung. Ebenfalls verbessert wird der aktuell minderwertige Boden im Gebiet Stuben, und nicht zuletzt profitiert Ebikon dank den Gebühren, welche die Firma Gloggner freiwillig in die Gemeindekasse zahlt. Insgesamt ist das Projekt gut für die Umwelt und gut für Ebikon. Diese Chance sollten wir nicht verpassen. Deshalb bin ich ein überzeugter Befürworter des Vorhabens.","René Schurtenberger, Ebikon",['neutral']
"Dieser Artikel fällt unter die Rubrik «Joke-News». Allerdings empfinde ich ihn eher als schlechten Scherz. Da vergleicht eine renommierte Universität die Abgase von Hunden und Flugzeugen. Gut, warum nicht? Es sind sprichwörtlich auch schon Äpfel mit Birnen verglichen worden. Das Ergebnis lässt sich aber durchaus auch anders formulieren: Für den Urlaubsflug einer einzelnen Person innerhalb Europas kann ein Hund ein ganzes Jahr lang furzen.Der Artikel behauptet, dass Nutztiere gehalten werden, um Hunde satt zu bekommen. Ist es nicht vielmehr so, dass zum Grossteil im Tierfutter all das vom Tier verarbeitet wird, was die Menschen nicht so gerne auf ihren Tellern sehen? Schweineohren, Hühnerhälse, Kälberfüsse und Rinderpansen seien hier nur mal als Beispiele genannt.Mathematisch entlarvt sich der Artikel selbst mit dem Vergleich von Golden Retriever und Mops. Gemessen am Körpergewicht dürfte der Golden Retriever im Vergleich zum Mops sogar 1500 Kilogramm CO2 ausstossen. Somit steigen die Umweltauswirkungen grösserer Hunde nicht so stark, wie im Artikel behauptet.Opfer werden zu Tätern gemacht. Mein Hund geht jeden Tag im Schnitt zwei Stunden mit mir spazieren, die Nase in Höhe der Auspuffgase der vorbeifahrenden Autos. Auf vielen Spaziergängen sind wir dem Lärm des Flugplatzes Emmen ausgesetzt. Wir gehen im Frühjahr oft an stark gedüngten Feldern und Wiesen entlang. Da soll der Hund das Problem sein?Und zu guter Letzt: Die Abgase meines Hundes wären wesentlich geringer und erträglicher, würde er nicht auf den Spaziergängen stets weggeworfene Pizzareste und Kebabs finden. Das werden andere Hundebesitzer und -besitzerinnen aus empirischen Beobachtungen bestätigen können.Mein Fazit: Das grösste Problem ist und bleibt der Mensch.",,['negative']
"Leider bringen solche scheuen Ermahnungen und Tipps von Wissenschaftlern gar nichts. Die Politik wäre gefordert, endlich griffige Gesetze zu erlassen, um den Konsumenten ihre Freiheiten zurückzugeben. Aber selbst unserem Kanton Luzern sind solche Gedanken fremd.Jedenfalls fülle ich seit der Umstellung der Steuersoftware meine Steuererklärung wieder auf Papier aus, nur weil ich es wage, nicht immer den neuesten Computer zu kaufen. Genauso verhalten sich die meisten Website-Programmierer. Es bringt eben Geld, Dutzende von Fremd-Scripts und Sniffern auf der Plattform einzubauen, bis mein Rechner kollabiert.Und dann überall dieser Login-/Registrierungswahn! Bei meinen Reparaturen ärgere ich mich auch regelmässig über die Schikanen der Hersteller, die dafür sorgen, dass ihre Ware nicht mit akzeptablem Aufwand reparierbar ist. Frankreich hat darum etwa seit einem Jahr ein Reparierbarkeits-Gütesiegel eingeführt.Wie gesagt: Unsere gewählten Parlamentarier könnten handeln, wenn sie denn wollten. Eine Kreislauf-Wirtschaft würde wesentlich mehr CO2 einsparen als bloss Autofahrer zu schikanieren.","Markus Zimmermann, Horw",['negative']
"Wie Bruno Rinderknecht in seinem Leserbrief vom 15. März richtig feststellt, hat der Krieg in der Ukraine das Problem der Energieversorgung in der Schweiz klar aufgezeigt. Wir sind stark von fossilen Rohstoffen wie Erdöl und Gas aus dem Ausland abhängig. Als Mitglied der «Klimagrosseltern» wirft der Leserbriefautor der Mehrheit der bürgerlichen Parteien vor, dass sie seit Jahren den Ausbau von erneuerbarer Energie blockieren.Aufgrund von Meldungen im Radio, Fernsehen und Presse komme ich zu einer anderen Erkenntnis: Ob neue Stauseen, Staumauern-Erhöhungen, Windparks oder grosse Solaranlagen in abgelegenen Gebieten, immer wieder sind es die Grünen, Linken und Umweltverbände, die mantramässig ihre Argumente gegen diese Vorhaben für erneuerbare Energieproduktion kundtun. Sie sind hauptverantwortlich dafür, dass die Schweiz – was Wind- und Solarstrom und so weiter anbelangt – im Vergleich der europäischen Staaten einen der letzten Plätze einnimmt.Aufgrund dieser Fakten dürfte nicht erstaunen, wenn man in Zukunft wieder auf Atomkraftwerke zurückgreifen muss! Dass Bruno Rinderknecht Versicherungen und Pensionskassen wegen ihren Bauvorhaben und deren Gewinnmaximierung angreift, ist unverständlich. Denn Nutzniesserinnen und Nutzniesser dieser Erträge sind am Ende die Versicherten. Dass Bauten erstellt werden, die ohne fremde Energie auskommen, ist ein Gebot der Zeit und muss gefördert werden.Da Links und Grün sinnvolle ökologische Projekte verhindern, sind bürgerliche Parteien in der Pflicht, Gesetze mit entsprechenden Anreizen (nicht Vorschriften) in Form von Motionen zu fordern.Enrico Ercolani, Liberale Senioren, KriensAls Strategie zur Lenkung der Mobilität schlägt der Regierungsrat vor, diese mit «Vermeiden, Verlagern, Vernetzen und verträglich abwickeln», umzubauen. Das ist lobenswert, bleibt aber ohne konkrete Folgen. Der Regierungsrat nimmt die Herausforderung nicht wahr, Massnahmen für die nötigen Veränderungen aufzuzeigen. Die Verhinderung der weiteren Erderwärmung müsste höchste Priorität haben, speziell im Bereich Mobilität, der mit 29 Prozent die grössten CO2-Emmissionen im Kanton Luzern verursacht. Die Regierung des Kantons Luzern schreibt im Bericht zur Klima- und Energiepolitik: «Er [der Kanton Luzern] ist für die Kantonsstrassen zuständig und hat die Möglichkeit, das Motorisierte Individualverkehrs-Aufkommen (MIV) mit einem aktiven Mobilitäts- und Verkehrsmanagement zu beeinflussen oder mittels Regelungen bei den Verkehrssteuern Einfluss auf die Defossilisierung des MIV zu nehmen». Konkrete Massnahmen dazu fehlen jedoch oder sind unverbindlich dargestellt.Der Bericht nennt Probleme, die das ungünstige Verhalten der Bevölkerung beschreiben, klammert aber Ansätze zur Steuerung und Beeinflussung aus. Dies, obschon im Bericht festgehalten wird, dass sich die Aufteilung zwischen umweltschädlichem und umweltfreundlichem Verkehr seit 2005 kaum verschoben hat. Der Regierungsrat lässt weiterhin zu, dass der MIV prioritär behandelt wird. An die Bevölkerung rückerstattbare Lenkungsabgaben, die Förderung des ÖV und Veloverkehrs wäre die beste Methode, die Bevölkerung zu umweltverträglicherem Verhalten zu bringen. Der Verein Klima-Grosseltern Zentralschweiz fordert den Regierungsrat auf, den Planungsbericht Zukunft Mobilität im Kanton Luzern in diesem Sinne zu überarbeiten.","Jean Berner, Luzern, und Max Kläy, Meggen, für die Klima-Grosseltern Zentralschweiz",['neutral']
"Der Preis für Benzin ist in den letzten Wochen markant gestiegen, weit mehr als es die Abgabe im abgelehnten CO2-Gesetz vorgesehen hatte. Und fahren jetzt nur noch Reiche herum, wie die damalige Propaganda von rechts uns weismachen wollte? Natürlich nicht. Was schlagen die Autolobbyisten nun vor angesichts der gestiegenen Preise? Ein TCS-Sprecher verweist auf eine vorausschauende Fahrweise, den richtigen Reifendruck sowie das Entfernen von unnötigem Ballast. Was er mit dem Ballast meint, bleibt offen. Meint er etwa Kindersitze, die gut 10 Kilogramm wiegen? Oder Schneeketten, die angesichts der Klimaerwärmung kaum mehr gebraucht werden? Zum Vergleich: Ein SUV wiegt gut und gerne zwei Tonnen. Also das Zweihundertfache eines Kindersitzes. Darum gilt es, am richtigen Ort, Ballast abzuwerfen. Nämlich mit einem leichteren Auto mit ökologischen Antrieben und weniger Spritverbrauch. Oder noch besser – einfach zu Fuss gehen, Fahrrad oder ÖV benutzen. Das hilft dem Portemonnaie und dem Klima.","Konradin Franzini, Rotkreuz",['neutral']
"Es ist eine langjährige Regel in unserem System, dass die Behörden das Resultat einer Volksabstimmung akzeptieren und sich danach richten. Das gilt aber nicht für Bundesrätin Sommaruga. Innert sechs Monaten nach der Ablehnung des CO2-Gesetzes hat sie bereits eine neue Vorlage mit den gleichen Bestimmungen ausarbeiten lassen. Und diese Vorlage soll so rasch als möglich durch Parlament und Volk abgesegnet werden. Die wirklichen Probleme aber packt Bundesrätin Sommaruga nicht an. Da werden wirre Zukunftsillusionen über unseren CO2-Ausstoss in den Jahren 2030, 2040 und 2050 aufgestellt. Die wahren Schwierigkeiten bei einer absehbaren Stromlücke im Winter 2025 scheinen dagegen unwichtig zu sein. Darüber hat man noch nie ein Wort aus dem Bundesamt vernommen.Vier Bundesrätinnen haben 2011 in Panik den Ausstieg aus der Kernkraft beschlossen. Dies sei möglich, da man ja bis 2022 schon einen grossen Anteil an Strom von Solardächern erhalten werde, hiess es damals. Geschätzte 200000 Solaranlagen wollte man erreichen. Sehen Sie irgendwo viele Sonnenplatten? Von Windrädern gar nicht zu sprechen. Das ist die Energiepolitik der sturen Sozialdemokratin im Bundeshaus.","Thomas Schmidhauser, Präsident schweizerischer Erdgaskonsumenten, Luzern",['neutral']
"Die Bürgergemeinde Oberägeri möchte ihr Alterszentrum Breiten am östlichen Dorfausgang Richtung Hauptsee erweitern und aufwerten. Dabei übernimmt die Bürgergemeinde eine gesellschaftliche Verantwortung und möchte neue Lösungen für ein Wohnen im Alter anbieten. Es sollen die Betriebskosten, welche über die ganze Gebrauchsdauer deutlich höher als die Erstellungskosten sind, verbessert werden. Die Absichten, die Erweiterungen in Holz zu realisieren oder Energie ab dem Seewasserwerk zu nutzen, reduzieren den CO2-Verbrauch im Bau und können den Betrieb CO2-frei ermöglichen. Diese Ziele sind vorbildlich und unbedingt weiter zu verfolgen.Das Gebiet «Breiten» ist gemäss Zonenplan Oberägeri einer Bebauungsplanpflicht unterstellt. Gemäss Ausführungen der Bürgergemeinde soll der «einfache Bebauungsplan» angewendet werden. Dieser erlaubt ein höheres Nutzungsmass um 20 Prozent, weitere konkrete Anforderungen an eine «hohe Qualität» in das Projekt sieht das Gesetz nicht vor. In Anbetracht der hohen Investitionssumme und der landschaftlich sensiblen Lage am Ägerisee sollte die «städtebauliche» und architektonische Gestaltung an der gut einsehbaren Hanglage eine vertiefte Betrachtung erhalten. Gemäss Ausführungen Bürgerrat sei ein Architekturwettbewerb u.a. aus Gründen der Kosten, welche man auf die Mieten abwälzen müsse, nicht nötig. Zudem würde ein Wettbewerb verschiedene gestalterische Lösungen abbilden, und die internen Arbeitsabläufe und Prozesse stünden an zweiter Stelle.Solche Ausführungen können Architekten hinsichtlich ihres Berufsstands diffamierend auffassen. Das Einholen von «Offerten», wie die Bürgergemeinde beabsichtigt, ist nicht ausreichend. Wir sind der Meinung, ein Architekturwettbewerb ist nötig. Gute architektonische Vorschläge präsentieren ein Konzentrat aus Erfahrung, klugen Lösungen und einer Prise Cleverness. Bei zahlreichen Siegerprojekten konnte darin auch eine wirtschaftlich nachhaltige Lösung nachgewiesen werden. Erst eine Auswahl an verschiedenen Vorschlägen lässt eine geeignete Bebauung an dieser attraktiven Lage erkennen. Weil die Bürgergemeinde in diesem Vorhaben nicht dem Beschaffungsrecht unterstellt ist, würde es dieser zustehen, einen knackigen, effizienten Wettbewerb unter regionalen Architekturbüros zu initiieren.","Patrick Röösli, Zug, für den Vorstand BauForumZug",['neutral']
"«Nur wenn wir den Wald nutzen und pflegen, kann er eine optimale Klimaleistung erbringen». Eine Aussage von Daniel Fässler, Präsident Wald Schweiz. Viele Untersuchungen, zum Beispiel von der Waldakademie in der Eifel, stützen heute die Ansicht, dass genau das Gegenteil der Fall ist! Ein ursprünglicher Wald kann sehr viel mehr Kohlenstoff einlagern als die Aufforstungen, welche Herr Fässler als Wald bezeichnet. Mit den schweren Erntemaschinen werden die Waldböden und damit das Bodenleben zusätzlich sehr lang anhaltend gestört. Die Wasserspeicherfähigkeit solche Böden geht drastisch zurück, was den Kühleffekt der Wälder beeinträchtigt und zu Überschwemmungen führen kann. Böden sind generell die grössten Kohlenstoffspeicher an Land. Sie speichern mehr Kohlenstoff als die gesamte Vegetation und die Atmosphäre zusammen.Werden die Bäume gefällt, sprich, die Wälder genutzt, wird auch der Kohlenstoff aus dem Boden in Form von CO2 in die Atmosphäre entlassen.In Summe ist Holz damit definitiv nicht CO2-neutral. Es braucht hier ein Umdenken! Dass die Holzindustrie für die Zerstörung der Wälder und den Aufbau von «Holzäckern» nun noch CO2-Zertifikate möchte, bringt das Fass zum Überlaufen. Unkomplizierte Entschädigungen sollten Waldeigentümer erhalten, welche ihren Wald sich selbst überlassen, denn solcher Wald entzieht der Atmosphäre nachhaltig CO2, reguliert den Wasserkreislauf, liefert Sauerstoff und ist für die Menschen ein Ort der Ruhe und Erholung.Markus Villiger, HohenrainIm Bericht steht sinngemäss, dass ein Baum am Ende seiner Lebensdauer, nachdem er zu Möbeln verarbeitet oder für den Gebäudebau gebraucht wurde und so zur anhaltenden Speicherung von CO2 beigetragen hat, für die Energienutzung eingesetzt werden kann. So könne Holz fossile Energieträger wie Öl und Gas ersetzen.Ein Baum speichert in seinem viele Jahrzehnte dauernden Leben enorm viel CO2. Er wächst auch sehr langsam in seinem Ökosystem Wald. Er trägt dazu bei, dass der Wasserhaushalt ausgeglichen wird, und er erzeugt mit seiner Feuchtigkeit ein gekühltes Klima weit über sein Gebiet hinaus. Der Wald trägt also sehr viel zu einem angenehmen Klima bei.Dass Holz zur Energiegewinnung verwendet wird, scheint mir nicht sehr sinnvoll. In kürzester Zeit ist das gesamte, über Jahrzehnte gespeicherte CO2 eines Baumes wieder in der Atmosphäre zurück. Von Nachhaltigkeit kann da nicht gesprochen werden. Wald ist zwar erneuerbar, aber der Faktor Zeit wird da sträflich vernachlässigt. Umweltschutzorganisationen sind für die Reduzierung fossiler Brennstoffe und die Bewahrung der Wälder. Darf man dann gleichzeitig Holzpelletheizungen gutheissen? Mir scheint das ein Widerspruch zu sein und unserer Umwelt nicht sehr zuträglich.","Theres Boss-Bachmann, Luzern",['neutral']
"Das Ziel eines CO2-Ausstosses von Netto-Null bis 2050 ist beschlossene Sache. Und bei den Atomkraftwerken wollen wir aussteigen. Eine Stromlücke zeichnet sich vor allem im Winterhalbjahr klar ab. Ob uns das Ausland diese decken wird, wage ich zu bezweifeln. Wenn man in Frankreich und Deutschland selber zu wenig Strom hat, wird man diesen kaum in die Schweiz weiterleiten. Wir begeben uns in eine gefährliche Abhängigkeit und verlassen uns darauf, dass wir mit Geld alles kaufen können.Würden wir nicht besser anfangen, das Strompotenzial des Wassers, der Sonne und des Windes zu nutzen, welches uns die Natur hier vor unserer Haustür zur Verfügung stellt? Sind uns der Schutz von zwei Wanderfalken (Ausgabe vom 25. November), ein ungenutztes Stück Land, das wir nicht überfluten wollen oder die schöne Aussicht mehr wert als eine sichere, emissionslose Stromversorgung?Selbstverständlich gilt es, Gerichts- und Volksentscheide zu akzeptieren. Diese zeigen im Moment auf, dass uns das persönliche Wohlbefinden wichtiger ist, als eine Antwort auf die dringende Frage, wie wir in Zukunft unseren Strom emissionslos produzieren. Wir werden alle für die Energiewende einen Beitrag leisten müssen, aber momentan ist man nicht bereit, dafür persönliche Kompromisse einzugehen. Ich frage mich ernsthaft: Wie lange können wir uns das noch leisten?Markus Bucher, Kantonsrat Die Mitte, BeromünsterMit Schreiben vom 8. September 2021 ersuchte ich den Gemeinderat Rickenbach, die Abstimmung über die Gemeindeinitiative «Erhaltet den Stierenberg – keine Windkraftanlagen auf unserem Hausberg» als Urnenabstimmung durchzuführen, unter Hinweis auf die schon damals ersichtliche Verschlechterung der Coronasituation. In dieser Angelegenheit hatten schon mehrere Informationsveranstaltungen stattgefunden, und die Meinungen konnten daher gebildet werden. Als Antwort wies der Gemeinderat darauf hin, dass an der Versammlung ein Antrag auf Urnenabstimmung zu erwarten war. Die Gemeindeveranstaltung fand dann auch statt, ohne Covid-Zertifikat und trotz Hinweis auf die geltenden Vorschriften des Bundes ohne jede Beachtung der minimalen Abstandsregeln. Geimpfte und Ungeimpfte, Getestete und nicht Getestete sassen unüberprüft Schulter an Schulter zu Hunderten in der Halle des Kubus.Der Antrag auf Urnenabstimmung erfolgte, wie vorausgesagt, sehr schnell und wurde mit grossem Mehr genehmigt. Der Gemeinderat wurde in der Folge nicht müde, darauf hinzuweisen, dass das Ergebnis einer solchen Abstimmung eigentlich belanglos war, da in jedem Fall der Regierungsrat entscheiden werde.Wenn unsere Stimme sowieso wertlos war, fragte ich mich schon bald, weshalb dann das Risiko eines solchen potenziellen Superspreader-Events eingegangen wurde. Ich kann es mir nur so erklären, dass ein Ja zur Initiative, das mit einer anonymen Urnenabstimmung offenbar wahrscheinlicher schien, unbedingt vermieden werden sollte. Die Anonymität bei umstrittenen Abstimmungen ist aber ein Grundrecht der Demokratie, um die Stimmbürger vor Nachteilen zu schützen, welche ihnen bei einer offenen Abstimmung erwachsen könnten. Die Urnenabstimmung hat stattgefunden. Es bleibt abzuwarten, ob die Stimmen der Rickenbacher Bevölkerung in Bezug auf ihren Hausberg wirklich wertlos waren.Esther Schatzmann, Dr. med. vet., MLaw, RickenbachDas Gelingen der Energiewende bedingt, dass alle Möglichkeiten zur Nutzung der erneuerbaren Energie optimal (nicht maximal) ausgeschöpft werden. Dazu gehört auch die Windenergie, denn sie generiert Strom bei allen Windlagen, tagsüber und auch nachts. Im Bericht zu den Wanderfalken steht, dass es Hinweise zur Gefährdung dieser Vögel gibt, aber keine gesicherten Daten. Die Vogelwarte Sempach mahnt deshalb zur Vorsicht und empfiehlt einen Abstand von 1000 Metern. Greifvögel halten einen Abstand für die Verteidigung des Nestes sowie der Brut. Die Reichweite, die sie für die Jagd beanspruchen, ist grösser und hängt vom Vorhandensein der Beutetiere ab. Deshalb ist es dringend erforderlich, dass die verschiedenen Parteien zusammen verbindliche und planungssichere Vorgaben (nicht Annahmen) erarbeiten.Allgemeine Kritikpunkte der Windkraftgegner betreffen den Lärmpegel der Rotoren. Am Standort Stierenberg wird ebenso der Landschafts- sowie Erholungswert als Argument genannt. Die gemessenen Lärmwerte erscheinen in Statistiken. Dies sind Vergangenheitswerte für Anlagen (Deckschicht aus Glasfasern, innen verstärkt mit Kohlefasern). Das Flügelprofil ist eher dickbauchig und deshalb «lärmig». Heute werden die Flügel komplett aus Kohlefasern gefertigt und an kritischen Stellen wird das Innere punktuell mit Titan verstärkt. Die Flügel erzeugen deutlich weniger Lärm. Anlagen mit Kohlefasern bringen einen höheren Ertrag oder sie können kleiner gebaut werden.«Landschaft» und «Erholung» sind Geschmacksache, immerhin hat Claude Monet mit Leidenschaft Mühlen gemalt.","Josef Burri, Luzern",['neutral']
