initiative,lz_nof_letters,lz_nof_writers,lz_avg_letters_writer,lz_avg_len_letter,lz_med_len_letter,lz_avg_opinion
V01-billag,11,10,1.1,244.8181818181818,250,-0.7272727272727273
V02-fairfood,0,0,0,0,0,0
V03-atsg,83,64,1.296875,432.69879518072287,296,-0.24096385542168675
V04-zersiedelung,28,23,1.2173913043478262,363.85714285714283,293.5,0
V05-kampfflugzeuge,62,50,1.24,363.0806451612903,322.0,-0.12903225806451613
V06-kinderbetreuungskosten,6,6,1.0,280.8333333333333,250.5,0
V07-begrenzungsinitiative,83,65,1.2769230769230768,479.56626506024094,392,-0.07228915662650602
V08-kriegsmaterial,20,20,1.0,370.55,313.5,-0.15
V09-konzernverantwortung,100,82,1.2195121951219512,451.02,376.5,-0.1
V10-verhüllungsverbot,52,42,1.2380952380952381,332.96153846153845,247.5,-0.19230769230769232
V11-co2,156,124,1.2580645161290323,376.2692307692308,260.5,-0.10897435897435898
V12-ehe_für_alle,91,79,1.1518987341772151,345.7692307692308,280,-0.13186813186813187
V13-99_prozent,48,43,1.1162790697674418,435.0833333333333,306.0,-0.041666666666666664
V14-covidgesetz,284,225,1.2622222222222221,501.5880281690141,416.5,-0.14084507042253522
V15-pflegeinitiative,141,124,1.1370967741935485,504.709219858156,384,-0.06382978723404255
V16-frontex,10,10,1.0,296.7,245.5,0
V17-transplantationsgesetz,24,21,1.1428571428571428,491.375,460.5,-0.08333333333333333
V18-filmgesetz,12,10,1.2,303,263.0,-0.4166666666666667
