#,Vote,Links to articles,Topic,1,2,3,4,5,6,7,8,9,10,11,12,Voting date,(Political) Group that started/supported vote,Voter turnout,Result of Vote (With percent),Time period of relevance,Nr of Articles (Luzerner Zeitung),Nr of Articles (20min),Average Comments (nr/article),Number of commentators,Average Comments/commentators,Reader's Letters (nr),Average length of comment (in words),Median length of comment (in words),Typical length of letter (in words),Typical Opinion (Comment),Typical Opinion (Letter),Words used often,Notes
1,Volksinitiative vom 11.12.2015 «Ja zur Abschaffung der Radio- und Fernsehgebühren (Abschaffung der Billag-Gebühren)»,,"12 Kultur, Religion, Medien
12.5 Medien und Kommunikation
",,,,,,,,,,,,X,04.03.2018,,,,,,,,,,,,,,,,,
2,Volksinitiative vom 26.11.2015 «Für gesunde sowie umweltfreundlich und fair hergestellte Lebensmittel (Fair-Food-Initiative)»,,"5 Landwirtschaft
5.2 TierischeProduktion
5.3 PflanzlicheProduktion
9.3 Umwelt
",,,,,X,,,,X,,,,23.09.2018,,,,,,,,,,,,,,,,,
3,Änderung vom 16.03.2018 des Bundesgesetzes über den Allgemeinen Teil des Sozialversicherungsrechts (ATSG) (Gesetzliche Grundlage für die Überwachung von Versicherten),,"10 Sozialpolitik
10.2.2 Invalidenversicherung
10.2.6 Arbeitslosenversicherung
",,,,,,,,,,X,,,25.11.2018,,,,,,,,,,,,,,,,,
4,Volksinitiative vom 21.10.2016 «Zersiedelung stoppen - für eine nachhaltige Siedlungsentwicklung (Zersiedelungsinitiative)»,,"9. Umwelt und Lebensraum
9.1.1 Raumplanung",,,,,,,,,X,,,,10.02.2019,,,,,,,,,,,,,,,,,
5,"Bundesbeschluss vom 20.12.2019 über die Beschaffung neuer Kampfflugzeuge
","https://www.20min.ch/story/live-hochrechnungen-zu-allen-fuenf-vorlagen-823242982322
https://www.20min.ch/story/klares-ja-zu-vaterschaftsurlaub-und-jets-offenes-rennen-beim-jagdgesetz-293932351579
https://www.20min.ch/story/ex-militaer-will-neue-kampfjets-abschiessen-619907836223
https://www.20min.ch/story/militaers-zoffen-sich-um-kampfjets-771355126672
(es gibt mehr)","3. Sicherheitspolitik
3.2.3 Rüstung",,,X,,,,,,,,,,27.09.2020,,,,,,,,,,,,,,,,,
6,"Änderung vom 27.09.2019 des Bundesgesetzes über den Erwerbsersatz für Dienstleistende und bei Mutterschaft (Erwerbsersatzgesetz, EOG)
",,"10.Sozialpolitik
10.3.4 Familienpolitik (?)
",,,,,,,,,,X,,,27.09.2020,,,,,,,,,,,,,,,,,
7,Änderung vom 27.09.2019 des Bundesgesetzes über die direkte Bundessteuer (DBG) (Steuerliche Berücksichtigung der Kinderdrittbetreuungskosten),"https://www.20min.ch/story/ueberparteiliches-ja-komitee-wirbt-fuer-zustimmung-zum-kinderabzug-712496024330
https://www.20min.ch/story/abstimmung-ueber-fuenf-vorlagen-findet-im-september-statt-518331049794","6. Öffentliche Finanzen
6.1.1 Steuerpolitik",,,,,,X,,,,,,,27.09.2020,,,,,,,,,,,,,,,,,
8,"Volksinitiative vom 31.08.2018 «Für eine massvolle Zuwanderung (Begrenzungsinitiative)»
","https://www.20min.ch/story/andreas-glarner-setzt-kopfgeld-auf-vandalen-aus-981597729781
=> Kommentare blockiert!!
https://www.20min.ch/story/der-rahmenvertrag-muss-um-jeden-preis-verhindert-werden-194723897127
https://www.20min.ch/story/verfluchte-voegte-ueli-maurer-provoziert-mit-tell-t-shirt-539376906188
https://www.20min.ch/story/bundesrat-cassis-stellt-sich-den-fragen-der-leser-661337982656
https://www.20min.ch/story/mysterioese-svp-flyer-aus-deutschland-fluten-briefkaesten-620859361831
https://www.20min.ch/story/svp-beschuldigt-bgi-gegner-massenhaft-plakate-zu-zerstoeren-158510857109","10. Sozialpolitik
10.3.1 Ausländerpolitik
",,,,,,,,,,X,,,27.09.2020,,,,,,,,,,,,,,,,,
9,"Volksinitiative vom 21.06.2018 «Für ein Verbot der Finanzierung von Kriegsmaterialproduzenten»
","https://www.20min.ch/video/finanzierung-von-kriegsmaterialproduzenten-das-musst-du-wissen-199552578742
https://www.20min.ch/story/die-schweiz-entscheidet-ueber-die-kriegsmaterial-initiative-544358325119
https://www.20min.ch/story/schweizer-banken-finanzieren-ruestungsfirmen-mit-15-3-milliarden-194577785111","6. Öffentliche Finanzen
6.3 Öffentliche Ausgaben
",,,,,,X,,,,,,,29.11.2020,,,,,,,,,,,,,,,,,
10,Volksinitiative vom 10.10.2016 «Für verantwortungsvolle Unternehmen – zum Schutz von Mensch und Umwelt»,"https://www.20min.ch/story/keller-sutter-eroeffnet-kampf-gegen-konzernverantwortung-467509304494
https://www.20min.ch/story/initiative-koennte-wirtschaft-schaden-760625817492","4. Wirtschaft
4.1.6 Gesellschaftsrecht
",,,,X,,,,,,,,,29.11.2020,,,,,,,,,,,,,,,,,
