vote_nr,vote_title,topic_text,topic_main,topic_sub,voting_date,political_affiliation,voter_turnout,voting_result,staendemehr,verdict,nof_ads_print,yes_ads,nof_mediareport,tonality_mediareport,lz_timeperiod,lz_nof_letters,lz_nof_writers,lz_avg_letters_writer,lz_avg_len_letter,lz_med_len_letter,lz_opinion_pos,lz_opinion_neutral,lz_opinion_neg,lz_avg_opinion,20m_timeperiod,20m_nof_arcitles,20m_nof_comments,20m_avg_comments_article,20m_nof_commentators,20m_avg_comments_commentator,20m_avg_len_comment,20m_med_len_comment,20m_nof_comments_positive,20m_nof_comments_neutral,20m_nof_comments_negative,20m_tendency_positive,20min_reactions_positive,20m_tendency_neutral,20min_reactions_neutral,20m_tendency_negative,20min_reactions_negative
5,Bundesbeschluss vom 20.12.2019 über die Beschaffung neuer Kampfflugzeuge,"3. Sicherheitspolitik
3.2.3 Rüstung",3,,27.09.2020,4,59.43%,50.10%,,YES,211,90.00%,303,14,,129,115,1.12,170.65,206.08,0,112,17,-0.06,09.09.2020 – 28.09.2020,4,2360,590,1626,1.45,150.34,108.00,160,910,1281,0.04,2413,0.22,16360,0.16,11745
6,Änderung vom 27.09.2019 des Bundesgesetzes über die direkte Bundessteuer (DBG) (Steuerliche Berücksichtigung der Kinderdrittbetreuungskosten),"6. Öffentliche Finanzen
6.1.1 Steuerpolitik",6,,27.09.2020,4,59.21%,36.80%,,NO,34,19.00%,170,-4,,12,12,1.00,131.99,160.32,0,12,0,0.00,29.04.2020 – 13.08.2020,2,64,32,59,1.08,198.03,164.50,8,25,31,0.00,2,0.43,3,0.29,2
7,Volksinitiative vom 31.08.2018 «Für eine massvolle Zuwanderung (Begrenzungsinitiative)»,"10. Sozialpolitik
10.3.1 Ausländerpolitik",10,,27.09.2020,5,59.49%,38.30%,15.22%,NO,658,35.00%,628,-34,,173,145,1.19,225.40,250.88,0,161,12,-0.03,12.09.2020 – 15.10.2020,4,2135,534,1552,1.38,124.33,91.00,146,789,1198,0.03,2360,0.23,20502,0.10,13186
8,Volksinitiative vom 21.06.2018 «Für ein Verbot der Finanzierung von Kriegsmaterialproduzenten»,"6. Öffentliche Finanzen
6.3 Öffentliche Ausgaben",6,,29.11.2020,1,46.95%,42.50%,15.22%,NO,220,16.00%,194,1,,42,40,1.05,174.16,200.64,0,36,6,-0.07,02.11.2020 – 30.11.2020,3,176,59,157,1.12,160.11,96.50,21,64,91,0.05,143,0.09,845,0.00,650
9,Volksinitiative vom 10.10.2016 «Für verantwortungsvolle Unternehmen – zum Schutz von Mensch und Umwelt»,"4. Wirtschaft
4.1.6 Gesellschaftsrecht",4,,29.11.2020,0,47.04%,50.70%,36.96%,NO,1047,28.00%,703,-11,,208,194,1.07,211.98,240.96,0,187,21,-0.05,06.10.2020 – 07.10.2020,1,144,144,123,1.17,171.69,132.00,4,39,101,0.01,25,0.35,1311,0.17,450
10,Volksinitiative vom 15.09.2017 «Ja zum Verhüllungsverbot»,"10: Sozialpolitik
10.3.1: Ausländerpolitik",10,,07.03.2021,5,51.42%,51.20%,78.26%,YES,30,63.00%,364,-10,,108,89,1.21,156.49,158.40,0,87,21,-0.09,08.03.2021 – 16.01.2021,2,759,380,668,1.14,133.96,109.00,64,216,478,0.03,1108,0.33,9090,0.08,3022
11,Bundesgesetz vom 25.09.2020 über die Verminderung von Treibhausgasemissionen (CO2-Gesetz),9: Umwelt & Lebensraum 9.3.3: Luftreinhaltung,9,,13.06.2021,1,59.70%,48.40%,,NO,1288,69.00%,548,29,,324,291,1.11,176.85,166.72,0,289,35,-0.05,31.05.2021 – 19.06.2021,3,328,109,216,1.52,208.19,160.50,17,157,152,0.00,45,0.12,3420,0.15,1955
12,Änderung vom 18.12.2020 des Schweizerischen Zivilgesetzbuches (Ehe für alle),"10: Sozialpolitik
10.3.8: Homosexuelle",10,,26.09.2021,0,52.60%,64.10%,,YES,58,84.00%,428,36,,189,168,1.13,162.51,179.20,2,161,28,-0.06,11.04.2021 – 26.09.2021,3,881,294,696,1.27,156.11,119.00,66,273,542,0.01,1627,0.21,24039,0.21,15604
13,"Volksinitiative vom 02.04.2019 «Löhne entlasten, Kapital gerecht besteuern»","6: Öffentliche Finanzen
6.1.3: Direkte Steuern",6,,26.09.2021,1,52.23%,35.10%,0%,NO,266,0.38%,209,-25,,100,95,1.05,204.49,195.84,0,96,4,-0.02,10.08.2021 – 11.08.2021,2,349,175,221,1.58,207.46,135.00,24,150,170,0.00,2461,0.27,17970,0.19,17424
14,Bundesgesetz vom 25.09.2020 über die gesetzlichen Grundlagen für Verordnungen des Bundesrates zur Bewältigung der Covid-19-Epidemie (Covid-19-Gesetz),"1.6.2: Grundrechte &
10: Sozialpolitik
10.1: Gesundheit

?

Ausserordentliche Kategorie → im Report erwähnen",10,1,28.11.2021,0,65.73%,62.00%,,YES,231,10.00%,686,17,,591,507,1.17,235.75,266.56,0,508,83,-0.07,19.11.2021 – 28.11.2021,3,652,217,461,1.41,145.27,96.00,55,268,323,0.06,13011,0.22,64171,0.21,55058
15,Volksinitiative «Für eine starke Pflege» (Pflegeinitiative),"4: Wirtschaft
4.2: Arbeit und Beschäftigung
4.2.1: Arbeitsbedingungen

10: Sozialpolitik
10.1.1: Gesundheitspolitik",4,10,28.11.2021,2,65.31%,61.00%,97.83%,YES,39,74.00%,278,23,,293,273,1.07,237.21,245.76,0,274,19,-0.03,20.11.2021 – 20.11.2021,1,34,34,27,1.26,194.24,122.50,2,14,18,0.08,210,0.33,1015,0.51,1295
